X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
28,3,3,4916,25,0,0,3,3,3,4916,0
29,4,2,4915,25,0,0,4,4,2,4915,0
28,3,2,4917,25,0,0,3,3,2,4917,0
28,0,3,4919,25,0,0,3,0,3,4919,0
29,6,3,4912,25,0,0,4,6,3,4912,0
27,0,3,4920,25,0,0,2,0,3,4920,0
26,4,2,4918,25,0,0,1,4,2,4918,0
28,2,3,4917,25,0,0,3,2,3,4917,0
29,1,1,4919,25,0,0,4,1,1,4919,0
28,1,10,4911,25,0,0,3,1,10,4911,0
28,3,7,4912,25,0,0,3,3,7,4912,0
26,1,3,4920,25,0,0,1,1,3,4920,0
26,11,3,4910,25,0,0,1,11,3,4910,0
25,5,5,4915,25,0,0,0,5,5,4915,0
28,3,2,4917,25,0,0,3,3,2,4917,0
27,5,4,4914,25,0,0,2,5,4,4914,0
27,6,5,4912,25,0,0,2,6,5,4912,0
28,2,1,4919,25,0,0,3,2,1,4919,0
29,4,3,4914,25,0,0,4,4,3,4914,0
28,2,0,4920,25,0,0,3,2,0,4920,0
27,3,5,4915,25,0,0,2,3,5,4915,0
28,6,4,4912,25,0,0,3,6,4,4912,0
25,7,4,4914,25,0,0,0,7,4,4914,0
25,7,7,4911,25,0,0,0,7,7,4911,0
30,1,3,4916,25,0,0,5,1,3,4916,0
25,5,2,4918,25,0,0,0,5,2,4918,0
25,3,2,4920,25,0,0,0,3,2,4920,0
26,5,4,4915,25,0,0,1,5,4,4915,0
31,4,3,4912,25,0,0,6,4,3,4912,0
28,8,5,4909,25,0,0,3,8,5,4909,0
29,6,4,4911,25,0,0,4,6,4,4911,0
28,2,1,4919,25,0,0,3,2,1,4919,0
29,2,4,4915,25,0,0,4,2,4,4915,0
26,2,1,4921,25,0,0,1,2,1,4921,0
25,0,6,4919,25,0,0,0,0,6,4919,0
30,4,4,4912,25,0,0,5,4,4,4912,0
28,3,8,4911,25,0,0,3,3,8,4911,0
28,1,2,4919,25,0,0,3,1,2,4919,0
34,3,7,4906,25,0,0,9,3,7,4906,0
33,5,5,4907,25,0,0,8,5,5,4907,0
26,3,1,4920,25,0,0,1,3,1,4920,0
25,3,1,4921,25,0,0,0,3,1,4921,0
27,4,11,4908,25,0,0,2,4,11,4908,0
28,2,3,4917,25,0,0,3,2,3,4917,0
26,3,4,4917,24,0,1,2,3,3,4917,0
26,6,2,4916,25,0,0,1,6,2,4916,0
26,3,3,4918,25,0,0,1,3,3,4918,0
27,6,2,4915,25,0,0,2,6,2,4915,0
29,6,5,4910,25,0,0,4,6,5,4910,0
26,2,3,4919,25,0,0,1,2,3,4919,0
30,1,4,4915,25,0,0,5,1,4,4915,0
28,2,4,4916,25,0,0,3,2,4,4916,0
35,1,6,4908,25,0,0,10,1,6,4908,0
27,9,1,4913,25,0,0,2,9,1,4913,0
27,5,1,4917,25,0,0,2,5,1,4917,0
30,1,5,4914,25,0,0,5,1,5,4914,0
29,6,0,4915,25,0,0,4,6,0,4915,0
26,2,5,4917,25,0,0,1,2,5,4917,0
26,3,2,4919,25,0,0,1,3,2,4919,0
26,9,5,4910,25,0,0,1,9,5,4910,0
28,6,3,4913,25,0,0,3,6,3,4913,0
29,4,2,4915,25,0,0,4,4,2,4915,0
27,7,3,4913,25,0,0,2,7,3,4913,0
27,4,3,4916,25,0,0,2,4,3,4916,0
28,4,5,4913,25,0,0,3,4,5,4913,0
29,4,4,4913,25,0,0,4,4,4,4913,0
27,1,3,4919,25,0,0,2,1,3,4919,0
27,3,5,4915,25,0,0,2,3,5,4915,0
29,2,6,4913,25,0,0,4,2,6,4913,0
29,0,3,4918,24,0,1,5,0,2,4918,0
27,1,1,4921,25,0,0,2,1,1,4921,0
30,1,2,4917,25,0,0,5,1,2,4917,0
26,4,3,4917,25,0,0,1,4,3,4917,0
26,4,5,4915,25,0,0,1,4,5,4915,0
26,4,4,4916,25,0,0,1,4,4,4916,0
26,1,8,4915,24,0,1,2,1,7,4915,0
28,4,5,4913,25,0,0,3,4,5,4913,0
25,3,2,4920,24,0,1,1,3,1,4920,0
27,4,1,4918,25,0,0,2,4,1,4918,0
29,4,0,4917,25,0,0,4,4,0,4917,0
26,4,8,4912,24,0,1,2,4,7,4912,0
29,6,4,4911,25,0,0,4,6,4,4911,0
32,4,4,4910,25,0,0,7,4,4,4910,0
25,2,5,4918,25,0,0,0,2,5,4918,0
29,1,1,4919,25,0,0,4,1,1,4919,0
26,7,2,4915,25,0,0,1,7,2,4915,0
26,3,2,4919,25,0,0,1,3,2,4919,0
26,3,2,4919,25,0,0,1,3,2,4919,0
26,5,3,4916,25,0,0,1,5,3,4916,0
29,4,6,4911,24,0,1,5,4,5,4911,0
28,2,4,4916,25,0,0,3,2,4,4916,0
27,2,4,4917,25,0,0,2,2,4,4917,0
27,7,2,4914,25,0,0,2,7,2,4914,0
29,4,8,4909,25,0,0,4,4,8,4909,0
24,2,6,4918,24,0,1,0,2,5,4918,0
25,5,2,4918,25,0,0,0,5,2,4918,0
27,2,4,4917,25,0,0,2,2,4,4917,0
27,5,7,4911,25,0,0,2,5,7,4911,0
32,1,3,4914,25,0,0,7,1,3,4914,0
29,6,6,4909,25,0,0,4,6,6,4909,0
