X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0,4,23,4923,0,0,19,0,4,4,4917,6
5,6,24,4915,0,0,21,5,6,3,4911,4
1,2,27,4920,0,0,22,1,2,5,4917,3
2,4,25,4919,0,0,24,2,4,1,4918,1
3,1,25,4921,0,0,23,3,1,2,4919,2
3,6,23,4918,0,0,22,3,6,1,4915,3
2,6,23,4919,0,0,21,2,6,2,4915,4
2,2,28,4918,0,0,22,2,2,6,4915,3
2,3,27,4918,0,0,24,2,3,3,4917,1
2,5,24,4919,0,0,22,2,5,2,4916,3
3,6,27,4914,0,0,25,3,6,2,4914,0
3,1,25,4921,0,0,23,3,1,2,4919,2
2,4,27,4917,0,0,24,2,4,3,4916,1
2,5,27,4916,0,0,23,2,5,4,4914,2
0,3,22,4925,0,0,19,0,3,3,4919,6
3,2,27,4918,0,0,25,3,2,2,4918,0
2,7,27,4914,0,0,24,2,7,3,4913,1
4,4,21,4921,0,0,20,4,4,1,4916,5
3,5,26,4916,0,0,22,3,5,4,4913,3
3,7,25,4915,0,0,21,3,7,4,4911,4
3,4,27,4916,0,0,25,3,4,2,4916,0
0,4,27,4919,0,0,25,0,4,2,4919,0
1,2,29,4918,0,0,24,1,2,5,4917,1
4,5,26,4915,0,0,24,4,5,2,4914,1
2,4,24,4920,0,0,24,2,4,0,4919,1
3,6,25,4916,0,0,24,3,6,1,4915,1
1,2,24,4923,0,0,23,1,2,1,4921,2
2,2,27,4919,0,0,23,2,2,4,4917,2
0,8,26,4916,0,0,23,0,8,3,4914,2
5,5,25,4915,0,0,23,5,5,2,4913,2
2,3,26,4919,0,0,25,2,3,1,4919,0
1,2,27,4920,0,0,21,1,2,6,4916,4
3,5,27,4915,0,0,24,3,5,3,4914,1
2,4,28,4916,0,0,23,2,4,5,4914,2
3,7,24,4916,0,0,21,3,7,3,4912,4
0,9,23,4918,0,0,22,0,9,1,4915,3
3,5,26,4916,0,0,25,3,5,1,4916,0
2,3,25,4920,0,0,24,2,3,1,4919,1
2,1,27,4920,0,0,24,2,1,3,4919,1
0,7,23,4920,0,0,22,0,7,1,4917,3
1,1,24,4924,0,0,21,1,1,3,4920,4
1,4,25,4920,0,0,23,1,4,2,4918,2
2,5,23,4920,0,0,23,2,5,0,4918,2
1,4,23,4922,0,0,21,1,4,2,4918,4
1,3,25,4921,0,0,21,1,3,4,4917,4
1,4,24,4921,0,0,22,1,4,2,4918,3
0,3,26,4921,0,0,24,0,3,2,4920,1
3,5,30,4912,0,0,24,3,5,6,4911,1
1,6,27,4916,0,0,22,1,6,5,4913,3
4,9,26,4911,0,0,23,4,9,3,4909,2
1,3,28,4918,0,0,24,1,3,4,4917,1
1,2,25,4922,0,0,23,1,2,2,4920,2
1,5,29,4915,0,0,25,1,5,4,4915,0
1,4,25,4920,0,0,23,1,4,2,4918,2
3,6,24,4917,0,0,22,3,6,2,4914,3
5,1,26,4918,0,0,21,5,1,5,4914,4
1,3,29,4917,0,0,24,1,3,5,4916,1
2,2,25,4921,0,0,24,2,2,1,4920,1
3,3,25,4919,0,0,23,3,3,2,4917,2
3,2,27,4918,0,0,21,3,2,6,4914,4
5,2,24,4919,0,0,23,5,2,1,4917,2
3,6,24,4917,0,0,21,3,6,3,4913,4
3,11,29,4907,0,0,24,3,11,5,4906,1
1,4,26,4919,0,0,24,1,4,2,4918,1
3,1,25,4921,0,0,24,3,1,1,4920,1
2,7,23,4918,0,0,22,2,7,1,4915,3
2,3,23,4922,0,0,20,2,3,3,4917,5
2,4,24,4920,0,0,23,2,4,1,4918,2
1,2,24,4923,0,0,22,1,2,2,4920,3
1,2,25,4922,0,0,23,1,2,2,4920,2
5,3,23,4919,0,0,21,5,3,2,4915,4
3,2,27,4918,0,0,23,3,2,4,4916,2
4,2,23,4921,0,0,22,4,2,1,4918,3
1,8,26,4915,0,0,22,1,8,4,4912,3
1,8,24,4917,0,0,20,1,8,4,4912,5
3,5,27,4915,0,0,25,3,5,2,4915,0
2,4,29,4915,0,0,24,2,4,5,4914,1
8,0,30,4912,0,0,23,8,0,7,4910,2
2,8,31,4909,0,0,25,2,8,6,4909,0
3,1,26,4920,0,0,25,3,1,1,4920,0
3,4,26,4917,0,0,24,3,4,2,4916,1
2,5,28,4915,0,0,24,2,5,4,4914,1
2,6,29,4913,0,0,23,2,6,6,4911,2
2,3,28,4917,0,0,24,2,3,4,4916,1
0,1,23,4926,0,0,21,0,1,2,4922,4
2,1,23,4924,0,0,21,2,1,2,4920,4
3,3,28,4916,0,0,24,3,3,4,4915,1
1,4,23,4922,0,0,23,1,4,0,4920,2
1,4,26,4919,0,0,23,1,4,3,4917,2
2,3,22,4923,0,0,20,2,3,2,4918,5
2,5,24,4919,0,0,21,2,5,3,4915,4
1,3,22,4924,0,0,21,1,3,1,4920,4
3,3,27,4917,0,0,23,3,3,4,4915,2
6,3,27,4914,0,0,25,6,3,2,4914,0
4,5,30,4911,0,0,24,4,5,6,4910,1
3,2,24,4921,0,0,23,3,2,1,4919,2
1,7,24,4918,0,0,21,1,7,3,4914,4
3,2,23,4922,0,0,23,3,2,0,4920,2
6,0,27,4917,0,0,25,6,0,2,4917,0
3,2,24,4921,0,0,22,3,2,2,4918,3
