X1,X2,X3,X4,X5,X6
0,0,0,8.12E-04,0.76,8.12E-04
0,0,0,0.002233503,0.84,0.001624365
0,0,0,6.09E-04,0.88,0.001218274
0,0,0,0.001218274,0.96,6.09E-04
0,0,0,8.12E-04,0.92,0.001015228
0,0,0,0.001827411,0.88,8.12E-04
0,0,0,0.001624365,0.84,8.12E-04
0,0,0,8.12E-04,0.88,0.001624365
0,0,0,0.001015228,0.96,0.001015228
0,0,0,0.00142132,0.88,8.12E-04
0,0,0,0.001827411,1,0.001015228
0,0,0,8.12E-04,0.92,0.001015228
0,0,0,0.001218274,0.96,0.001015228
0,0,0,0.00142132,0.92,0.001218274
0,0,0,6.09E-04,0.76,6.09E-04
0,0,0,0.001015228,1,0.001015228
0,0,0,0.001827411,0.96,0.001015228
0,0,0,0.001624365,0.8,0.001015228
0,0,0,0.001624365,0.88,0.00142132
0,0,0,0.002030457,0.84,0.00142132
0,0,0,0.00142132,1,0.001015228
0,0,0,8.12E-04,1,4.06E-04
0,0,0,6.09E-04,0.96,0.001218274
0,0,0,0.001827411,0.96,0.001218274
0,0,0,0.001218274,0.96,4.06E-04
0,0,0,0.001827411,0.96,8.12E-04
0,0,0,6.09E-04,0.92,4.06E-04
0,0,0,8.12E-04,0.92,0.001218274
0,0,0,0.001624365,0.92,6.09E-04
0,0,0,0.002030457,0.92,0.00142132
0,0,0,0.001015228,1,6.09E-04
0,0,0,6.09E-04,0.84,0.00142132
0,0,0,0.001624365,0.96,0.001218274
0,0,0,0.001218274,0.92,0.00142132
0,0,0,0.002030457,0.84,0.001218274
0,0,0,0.001827411,0.88,2.03E-04
0,0,0,0.001624365,1,8.12E-04
0,0,0,0.001015228,0.96,6.09E-04
0,0,0,6.09E-04,0.96,0.001015228
0,0,0,0.00142132,0.88,2.03E-04
0,0,0,4.06E-04,0.84,8.12E-04
0,0,0,0.001015228,0.92,6.09E-04
0,0,0,0.00142132,0.92,4.06E-04
0,0,0,0.001015228,0.84,6.09E-04
0,0,0,8.12E-04,0.84,0.001015228
0,0,0,0.001015228,0.88,6.09E-04
0,0,0,6.09E-04,0.96,4.06E-04
0,0,0,0.001624365,0.96,0.001827411
0,0,0,0.00142132,0.88,0.001218274
0,0,0,0.002639594,0.92,0.00142132
0,0,0,8.12E-04,0.96,0.001015228
0,0,0,6.09E-04,0.92,6.09E-04
0,0,0,0.001218274,1,0.001015228
0,0,0,0.001015228,0.92,6.09E-04
0,0,0,0.001827411,0.88,0.001015228
0,0,0,0.001218274,0.84,0.002030457
0,0,0,8.12E-04,0.96,0.001218274
0,0,0,8.12E-04,0.96,6.09E-04
0,0,0,0.001218274,0.92,0.001015228
0,0,0,0.001015228,0.84,0.001827411
0,0,0,0.00142132,0.92,0.001218274
0,0,0,0.001827411,0.84,0.001218274
0,0,0,0.00284264,0.96,0.001624365
0,0,0,0.001015228,0.96,6.09E-04
0,0,0,8.12E-04,0.96,8.12E-04
0,0,0,0.001827411,0.88,6.09E-04
0,0,0,0.001015228,0.8,0.001015228
0,0,0,0.001218274,0.92,6.09E-04
0,0,0,6.09E-04,0.88,6.09E-04
0,0,0,6.09E-04,0.92,6.09E-04
0,0,0,0.001624365,0.84,0.00142132
0,0,0,0.001015228,0.92,0.00142132
0,0,0,0.001218274,0.88,0.001015228
0,0,0,0.001827411,0.88,0.001015228
0,0,0,0.001827411,0.8,0.001015228
0,0,0,0.001624365,1,0.001015228
0,0,0,0.001218274,0.96,0.00142132
0,0,0,0.001624365,0.92,0.003045685
0,0,0,0.002030457,1,0.001624365
0,0,0,8.12E-04,1,8.12E-04
0,0,0,0.00142132,0.96,0.001015228
0,0,0,0.00142132,0.96,0.001218274
0,0,0,0.001624365,0.92,0.001624365
0,0,0,0.001015228,0.96,0.001218274
0,0,0,2.03E-04,0.84,4.06E-04
0,0,0,6.09E-04,0.84,8.12E-04
0,0,0,0.001218274,0.96,0.00142132
0,0,0,0.001015228,0.92,2.03E-04
0,0,0,0.001015228,0.92,8.12E-04
0,0,0,0.001015228,0.8,8.12E-04
0,0,0,0.00142132,0.84,0.001015228
0,0,0,8.12E-04,0.84,4.06E-04
0,0,0,0.001218274,0.92,0.00142132
0,0,0,0.001827411,1,0.001624365
0,0,0,0.001827411,0.96,0.002030457
0,0,0,0.001015228,0.92,8.12E-04
0,0,0,0.001624365,0.84,8.12E-04
0,0,0,0.001015228,0.92,6.09E-04
0,0,0,0.001218274,1,0.001624365
0,0,0,0.001015228,0.88,0.001015228
0,0,0,0.00142132,0.76,0.001015228
0,0,0,0.001827411,0.8,0.001218274
0,0,0,0.001218274,0.96,8.12E-04
0,0,0,4.06E-04,0.84,0.00142132
0,0,0.04,0.001218274,0.92,0.001827411
0,0,0,0.001624365,0.88,0.00142132
0,0,0,0.002436548,0.96,0.001015228
0,0,0,8.12E-04,0.92,8.12E-04
0,0,0,0.001218274,0.88,0.00142132
0,0,0,0.002233503,0.8,0.001218274
0,0,0.04,0.001218274,0.96,4.06E-04
0,0,0,0.001827411,0.88,0.00142132
0,0,0,0.001218274,0.92,8.12E-04
0,0,0,0.001624365,0.96,0.001827411
0,0,0,0.001015228,0.72,0.001015228
0,0,0,0.001218274,0.96,6.09E-04
0,0,0,0.001015228,1,6.09E-04
0,0,0,6.09E-04,1,8.12E-04
0,0,0,0.001827411,0.96,0.001624365
0,0,0,0.001015228,0.88,0.001015228
0,0,0,0.001015228,0.92,6.09E-04
0,0,0,0.001015228,0.96,0.001015228
0,0,0,0.001218274,0.96,6.09E-04
0,0,0.04,8.12E-04,0.96,8.12E-04
0,0,0,0.001218274,0.92,6.09E-04
0,0,0,0.001218274,0.88,0.001218274
0,0,0,0.001827411,0.92,0.001218274
0,0,0,0.001218274,0.92,4.06E-04
0,0,0,0.001827411,0.88,8.12E-04
0,0,0,0.001624365,1,0.001218274
0,0,0,0.001827411,0.92,0.00142132
0,0,0,0.001624365,0.88,0.001218274
0,0,0,0.00142132,0.92,0.001218274
0,0,0,0.002030457,0.88,6.09E-04
0,0,0,0.001624365,0.84,0.001624365
0,0,0,0.001015228,0.92,0.001015228
0,0,0,0.001624365,0.92,0.001624365
0,0,0,8.12E-04,1,4.06E-04
0,0,0,6.09E-04,0.92,0.001015228
0,0,0,8.12E-04,0.8,6.09E-04
0,0,0,0.001624365,0.88,4.06E-04
0,0,0,0.001624365,0.84,8.12E-04
0,0,0,0.001218274,0.92,8.12E-04
0,0,0,0.001015228,0.92,6.09E-04
0,0,0,0.001624365,0.84,0.001015228
0,0,0,0.001218274,0.92,8.12E-04
0,0,0,0.00142132,0.96,0.00142132
0,0,0,0.001624365,1,0.001624365
0,0,0,0.002233503,0.84,0.002233503
0,0,0,0.001624365,0.92,0.001218274
0,0,0,0.001218274,0.92,8.12E-04
0,0,0,8.12E-04,0.88,0.001015228
0,0,0,0.001218274,0.96,8.12E-04
0,0,0,4.06E-04,0.92,8.12E-04
0,0,0,8.12E-04,0.88,6.09E-04
0,0,0,0.001218274,0.88,0.00142132
0,0,0,6.09E-04,1,6.09E-04
0,0,0,0.001015228,0.96,6.09E-04
0,0,0,0.001218274,0.96,0.001015228
0,0,0,8.12E-04,0.8,0.002030457
0,0,0,0.001827411,1,0.001827411
0,2.03E-04,0,0.00142132,0.88,6.09E-04
0,0,0,0.002030457,0.96,0.001624365
0,0,0,0.001624365,0.84,0.001015228
0,0,0,8.12E-04,0.96,8.12E-04
0,0,0,0.00142132,0.92,6.09E-04
0,0,0,8.12E-04,0.84,0.001218274
0,0,0,0.001624365,0.92,0.001218274
0,0,0,8.12E-04,0.92,0.001218274
0,0,0,8.12E-04,0.92,0.001218274
0,0,0,0.002030457,0.92,0.00142132
0,2.03E-04,0,0.001624365,0.92,0.001015228
0,0,0,0.00142132,0.92,8.12E-04
0,0,0,0.00142132,0.92,8.12E-04
0,0,0,0.001015228,0.92,8.12E-04
0,0,0,0.001624365,0.88,6.09E-04
0,0,0,0.001015228,1,0.002436548
0,0,0,6.09E-04,0.88,6.09E-04
0,0,0,0.001218274,0.96,0.001015228
0,0,0,0.002233503,1,0.001827411
0,0,0,0.001218274,0.96,8.12E-04
0,0,0,0.001218274,0.84,4.06E-04
0,0,0,8.12E-04,1,0.001218274
0,0,0,4.06E-04,1,0.001218274
0,0,0,0.001218274,0.92,0.001015228
0,0,0,0.001624365,0.88,8.12E-04
0,0,0,0.001624365,0.96,8.12E-04
0,0,0,0.00142132,0.88,0.001015228
0,0,0,0.00142132,0.8,0.001218274
0,0,0,6.09E-04,0.92,6.09E-04
0,0,0,0.001624365,0.84,0.001827411
0,0,0,4.06E-04,0.88,6.09E-04
0,0,0,0.00142132,0.92,0.00142132
0,0,0,0.001827411,1,0.001218274
0,0,0,6.09E-04,0.92,0.001624365
0,0,0,0.001218274,0.92,8.12E-04
0,0,0,0.002233503,0.88,0.00142132
0,0,0.04,0.001218274,0.96,0.001218274
0,0,0,0.001015228,0.92,0.001015228
0,0,0,0.00142132,0.92,8.12E-04
0,0,0,0.001408805,1,0.001207547
0,0,0,0.001509434,1,0.001509434
0,0,0,0.001257862,1,0.001106918
0,0,0,0.001308176,1,0.001207547
0,0,0,0.001157233,1,9.56E-04
0,0,0,8.05E-04,1,9.06E-04
0,0,0,0.001106918,1,0.001056604
0,0,0,8.55E-04,1,7.55E-04
0,0,0,0.001106918,1,7.55E-04
0,0,0,0.001207547,1,8.05E-04
0,0,0,0.001610063,1,0.001056604
0,0,0,0.001308176,1,8.55E-04
0,0,0,0.001408805,1,7.04E-04
0,0,0,0.001358491,1,9.56E-04
0,0,0,0.001006289,1,0.001157233
0,0,0,9.06E-04,1,8.55E-04
0,0,0,0.001207547,1,6.04E-04
0,0,0,9.06E-04,1,9.06E-04
0,0,0,0.001056604,1,0.001207547
0,0,0,0.001207547,1,0.001006289
0,0,0,7.04E-04,1,9.06E-04
0,0,0,9.56E-04,1,0.001157233
