S,zero_prop,r_cca,r_mice,r_gbm
0.1,0.075,0.7843356650368242,0.7904006593901155,0.786575891395964
0.05,0.46,0.7296749275720692,0.7336239971443417,0.7224720407325137
0.02,2.11,0.6169901762750141,0.6283160560200753,0.6293809505488143
0.01,4.62,0.42586137896886006,0.3295178583380332,0.34671735030616
0.005,7.76,0.24645010523107086,0.1319552354408752,0.15086480038390349
0.1,0.1,0.70809404448761,0.7177471253460133,0.7123321015928121
0.05,0.415,0.6837265292755602,0.6814428832454575,0.6819026689596863
0.02,1.915,0.5539717425009998,0.5433308665152758,0.5431697872741149
0.01,4.58,0.2871637633549075,0.14423258822396912,0.19250034725725879
0.005,7.88,0.13564243131226067,-0.09659109856835807,0.01920252279869977
0.1,0.065,0.748397388787721,0.748397388787721,0.748397388787721
0.05,0.325,0.728403805050206,0.7280966590790804,0.7319521041504636
0.02,1.765,0.6996738075281698,0.7527720452146204,0.7100424693023529
0.01,3.87,0.5407873413070874,0.6030442245319351,0.4549228440240261
0.005,6.71,0.21614878851498576,0.558206468226895,0.2463445946302453
0.1,0.135,0.7736895743637153,0.7794230587410798,0.7730322886226011
0.05,0.585,0.7182393075926407,0.7153505270770747,0.719192623953376
0.02,2.605,0.6279477005482437,0.6419299428169245,0.6061597303190951
0.01,5.62,0.6849456399708083,0.706002565573966,0.6224557446051185
0.005,9.26,0.6781805372797686,0.45334665552615455,0.5713308391668778
0.1,0.1,0.7877463135380953,0.7967981127132471,0.7867430467376786
0.05,0.455,0.7231182285470499,0.7255127314714425,0.7264746809036001
0.02,1.91,0.7264240593972515,0.733185342452208,0.7099772773409114
0.01,4.355,0.6477395260109118,0.5973137237147501,0.5767251115269464
0.005,7.705,0.6697298655695019,0.44071884868768474,0.4864446981120242
0.1,0.095,0.7661494649505014,0.7596778584486182,0.7663829593235922
0.05,0.41,0.7411492398483847,0.7398537709584,0.7392837632931916
0.02,1.85,0.6829457229459952,0.6670992761374734,0.6795498445222777
0.01,4.375,0.5266405635516471,0.6944503986550629,0.3886909788300878
0.005,7.575,0.5229117676974839,0.3069632961805668,0.36717747673741635
0.1,0.035,0.7825023578928134,0.7825023578928134,0.7825023578928134
0.05,0.27,0.7762958509654917,0.761886033413521,0.767164216991043
0.02,1.565,0.682678027862232,0.7290250444199827,0.65263243574995
0.01,3.525,0.7058004863434207,0.6543512892815463,0.6595053119951498
0.005,6.7,0.7012785837277985,0.8201201934736135,0.5956224522419118
0.1,0.08,0.7699744235464471,0.7773441069253256,0.7710204065731645
0.05,0.325,0.7359624836933703,0.755184110361313,0.7354284533916589
0.02,1.81,0.6711845130527934,0.7099587836531954,0.6446678925199828
0.01,3.955,0.731233953098876,0.7414787978589187,0.6563216630232994
0.005,6.995,0.7514437413736328,0.7054226900827104,0.38556153980348523
0.1,0.055,0.7443546184233313,0.7455957149085399,0.7454412874140947
0.05,0.39,0.6664399195648577,0.6677278167814333,0.6866483251954533
0.02,1.86,0.46918264690470474,0.547567144110078,0.4319929495421937
0.01,4.12,0.33192668469553505,0.2751140765102112,0.28359203584288983
0.005,7.055,0.4165408007201909,0.33080063388057157,0.17940727959417094
0.1,0.085,0.7070133766423945,0.7039932484908762,0.7034812860758329
0.05,0.405,0.6860671505618595,0.6837847939910059,0.7005794279089939
0.02,1.8,0.6892259345195579,0.6591408635517756,0.6883885908722679
0.01,4.09,0.6366999063799699,0.6005742056686093,0.5735400419903762
0.005,6.97,0.28374841839571696,0.505042893221083,0.18189269272520586
0.1,0.11,0.7618064289665427,0.7419266269056148,0.7641746625330413
0.05,0.445,0.7695440660885661,0.7721091264738438,0.7754687417613738
0.02,2.115,0.6500151860706123,0.6611188042094195,0.6180647919373043
0.01,4.725,0.5687079494250374,0.501162900859601,0.4120998922938778
0.005,8.11,0.42329843147501073,0.46425664174926423,0.15272312423518813
0.1,0.035,0.7875031224242595,0.7875031224242595,0.7875031224242595
0.05,0.355,0.7619905512711527,0.744597590391829,0.7642908151460478
0.02,1.54,0.713169246986546,0.731180670650729,0.7075068868206393
0.01,3.365,0.7040142278975302,0.8059900827176206,0.6763189972814035
0.005,6.125,0.6396892424450288,0.6552910382464877,0.4354514143864271
0.1,0.07,0.7669277493225622,0.7724554263377561,0.7685746689629899
0.05,0.465,0.7886869851578981,0.7888536709989387,0.7923452284769594
0.02,2.155,0.6800955698993647,0.6934571658759502,0.6423500365108433
0.01,4.725,0.6601129889286413,0.6503326511204321,0.6201574702641137
0.005,8.005,0.40571132196642107,0.5409453164730186,0.32004366621483776
0.1,0.055,0.7180776402544801,0.7212276570118522,0.7250372012927174
0.05,0.375,0.6573845054631929,0.659595081762323,0.6432624623918906
0.02,1.6,0.6471770460038401,0.6964257684797371,0.6288986355951617
0.01,3.79,0.5913234478297481,0.5991965971904707,0.5585082094026247
0.005,6.505,0.5358290980437214,0.31713780781489304,0.300668913694473
0.1,0.055,0.8248165838672585,0.8294279718457395,0.8311362906429454
0.05,0.285,0.7277277667767705,0.7527595305111917,0.7415194726679537
0.02,1.255,0.6026133033626054,0.6512583205577959,0.5795545756726184
0.01,3.055,0.5314738257061373,0.47324503841335186,0.49032018518120707
0.005,5.94,0.4921827855393623,0.08250392000612403,0.27153338833231866
0.1,0.065,0.79479576657556,0.79479576657556,0.79479576657556
0.05,0.435,0.7719811412591302,0.7882763873194669,0.7813095765468958
