S,zero_prop,r_cca,r_mice,r_gbm
0.1,0.075,-0.1723693103079737,-0.1882610758233251,-0.17031074562772275
0.05,0.445,-0.0731249190781413,-0.1018901245052946,-0.051762832236362744
0.02,2.125,-0.05913204887608711,-0.05944045207250279,0.010990738007656008
0.01,4.61,0.24454383602689242,0.11442796667356309,0.1080590398663445
0.005,7.735,0.08793787008304672,0.15551315250476067,0.1681323266582323
0.1,0.105,0.023704880679583738,0.04529151959625109,-0.0034387901440210574
0.05,0.43,0.04810230047235861,0.0035672323615043044,0.05241898794821491
0.02,1.895,0.17545270762873072,0.1937328761803472,0.17054257031456824
0.01,4.525,0.3453596160905192,0.2678524331988776,0.0784903931481913
0.005,7.82,0.6546536707079771,0.735075865790589,0.21305653897595528
0.1,0.075,-0.019255768936396595,-0.019828106815377295,-0.01900935437912886
0.05,0.335,0.05849437362725346,0.056580475197613236,0.04243933993187907
0.02,1.75,-0.060500417151597916,-0.1667517954118271,-0.10588065417319203
0.01,3.905,-0.22986276377778633,-0.38472432321676503,-0.18685429593029304
0.005,6.715,-0.39583274149652387,-0.5613392282878088,-0.056509637140661165
0.1,0.13,0.06536423952711062,0.06280768045494649,0.06184576408215462
0.05,0.58,0.06529862822046782,0.08371715653565914,0.0697729208833666
0.02,2.575,-0.05673142743715531,-0.017247711378745853,-0.024846538484240874
0.01,5.6,-0.15864050530740836,-0.03310942107794024,-0.10199793418768971
0.005,9.27,-0.1729226388514483,-0.07662154053938312,0.11945709684274082
0.1,0.095,-0.13254843079827905,-0.12026191896346082,-0.13490770285482725
0.05,0.435,-0.09205633317494773,-0.1085645820361492,-0.0900109318238724
0.02,1.9,-0.02119051398536014,-0.04172970085871846,-0.017678250890613985
0.01,4.38,-0.02066126144001273,-0.2137139710546422,0.05759995587553242
0.005,7.69,-0.42929933439820206,-0.39402934285655555,-0.09511708614420594
0.1,0.09,0.012870469696918633,0.03654655619918837,0.018116128196629326
0.05,0.41,0.07211772934167107,0.028492368433871318,0.07111744017709047
0.02,1.925,0.10185656111829097,0.096100932540125375,0.08540805219987413
0.01,4.365,0.04156463607150796,0.16213528264074015,-0.02977571536367244
0.005,7.545,0.0030621051505291272,0.37314495646551343,-0.04542219012690333
0.1,0.045,-0.05874310038165272,-0.05874310038165272,-0.05874310038165272
0.05,0.265,-0.03966691051256234,-0.03859831537801838,-0.02008833543689128
0.02,1.53,0.13664467543820621,0.08585746476436654,0.0963676319610369
0.01,3.505,0.07397690209433182,0.19859847644002404,0.004216209287607388
0.005,6.735,0.5030424011663929,0.47559743968389356,0.17528033665280998
0.1,0.07,-0.02625680647600508,-0.012378032020041316,-0.023712509222921615
0.05,0.31,-0.046210767363698696,-0.029165968180987767,-0.04319810858156202
0.02,1.795,0.029904768890310518,0.0025870036842277322,0.05606708867623771
0.01,3.96,0.09597483321833351,0.46291707534019033,0.20195365791519376
0.005,7.07,0.2980107026789229,0.3842524912233487,0.1506090028203387
0.1,0.05,-0.037869556632096395,-0.037629376588402055,-0.03595293025463894
0.05,0.385,-0.025564067443002287,-0.02289311091715166,-0.030058503419249268
0.02,1.85,-0.05695237333150181,0.054012296081857036,-0.09891034153252094
0.01,4.1,0.18810199550389062,0.26637062417315255,0.1423184390618668
0.005,7.065,0.03247835059045095,-0.034173817885903804,-0.02625966443679745
0.1,0.085,-0.020736638362360373,-0.015093887758809993,-0.017788189301584663
0.05,0.415,0.04461898918480919,0.03326917653058028,0.05821302385433846
0.02,1.845,0.08809111420864316,0.006755961631223668,0.08842844711927937
0.01,4.14,0.049324986438473904,0.022953468766077897,0.16616286617325554
0.005,6.995,-0.11308335526149765,0.14569859031771856,0.39577137326871814
0.1,0.1,0.037827612542358995,0.03294238590964608,0.025490164923378855
0.05,0.42,0.06269998634178675,0.06498198021126625,0.044897037718933636
0.02,2.075,-0.027214908527069575,-0.023919444568131384,-0.0418197730211711
0.01,4.675,0.07635846656188193,-0.042485037870830536,0.050290046550262396
0.005,8.12,-0.146571678837425,0.0010940943103139907,0.07811661470786078
0.1,0.04,0.09832082182174544,0.08478891560692674,0.10083544748204772
0.05,0.35,-0.007937094129173539,0.02479828351491116,-0.006764184515730585
0.02,1.545,0.10508532135686625,0.052643704307385235,0.13976986258729482
0.01,3.31,0.21800638731217037,0.45647485056628784,0.1640921041113678
