S,zero_prop,r_complete,r_impute,
0.1,0.01,0.795123334,0.797333045,
0.05,0.03,0.771547178,0.784174397,
0.02,0.215,0.671009813,0.696620741,
0.01,0.45,0.533485725,0.720790114,
0.005,0.73,0.183424317,-0.029203591,
0.1,0,0.732648031,0.732648031,
0.05,0.035,0.656798592,0.648352503,
0.02,0.21,0.471515728,0.519265752,
0.01,0.385,0.426617198,0.392932553,
0.005,0.715,0.785603249,0.707883215,
0.1,0.005,0.699750373,0.699542272,
0.05,0.04,0.691765369,0.717069894,
0.02,0.245,0.670325309,0.645412097,
0.01,0.5,0.518740085,0.645150598,
0.005,0.7,0.368826837,0.242123269,
0.1,0,0.705281881,0.705281881,
0.05,0.015,0.689516695,0.688339269,
0.02,0.205,0.653013258,0.643425962,
0.01,0.43,0.616009985,0.512971467,
0.005,0.72,0.612804472,0.741587782,
0.1,0.01,0.863721596,0.863662436,
0.05,0.05,0.834482572,0.83752943,
0.02,0.235,0.764731017,0.812119882,
0.01,0.435,0.71696804,0.693459231,
0.005,0.68,0.464904979,0.617186206,
0.1,0.015,0.781317425,0.788207428,
0.05,0.055,0.716363049,0.726085071,
0.02,0.215,0.670701576,0.682182809,
0.01,0.495,0.500992484,0.196624141,
0.005,0.745,0.330298955,0.412441106,
0.1,0.005,0.864589386,0.870169204,
0.05,0.05,0.833730101,0.823689723,
0.02,0.21,0.810001802,0.827551474,
0.01,0.455,0.771001538,0.724837826,
0.005,0.695,0.712369828,0.781236836,
0.1,0.015,0.796328145,0.809913963,
0.05,0.04,0.773201597,0.778511771,
0.02,0.215,0.704740857,0.730503168,
0.01,0.51,0.528539321,0.382562006,
0.005,0.775,0.004347031,-0.032981772,
0.1,0.01,0.811822348,0.812266794,
0.05,0.04,0.774332162,0.79144737,
0.02,0.225,0.672951057,0.550918873,
0.01,0.495,0.546486368,0.236919825,
0.005,0.795,0.337269792,0.190115627,
0.1,0,0.775470891,0.775470891,
0.05,0.025,0.733310889,0.745513011,
0.02,0.165,0.623261618,0.701517545,
0.01,0.405,0.66245163,0.702863025,
0.005,0.715,0.684810081,0.583909182,
0.1,0.015,0.838904606,0.833456771,
0.05,0.05,0.834700605,0.840217005,
0.02,0.235,0.726407419,0.766724057,
0.01,0.45,0.732849369,0.708356955,
0.005,0.735,0.423764127,0.089875306,
0.1,0.015,0.765766072,0.770113921,
0.05,0.045,0.750842996,0.735529724,
0.02,0.23,0.650293297,0.69341103,
0.01,0.455,0.598441114,0.355968813,
0.005,0.71,0.704328938,0.665780622,
0.1,0.005,0.77472623,0.776526501,
0.05,0.015,0.770150485,0.777297031,
0.02,0.22,0.681179553,0.5985272,
0.01,0.43,0.698535877,0.697097505,
0.005,0.65,0.61758477,0.711007817,
0.1,0.015,0.716963039,0.732017849,
0.05,0.04,0.677279178,0.664056242,
0.02,0.17,0.677931229,0.699728951,
0.01,0.445,0.614052813,0.329265444,
0.005,0.73,0.629587028,0.507119884,
0.1,0,0.743418308,0.743418308,
0.05,0.05,0.645037944,0.661349847,
0.02,0.205,0.562210707,0.544386261,
0.01,0.49,0.439731306,0.535522877,
0.005,0.765,0.128556967,0.340867079,
0.1,0.005,0.78934505,0.773353462,
0.05,0.045,0.753723304,0.775267554,
0.02,0.18,0.725739645,0.662380442,
0.01,0.425,0.697163102,0.750577066,
0.005,0.71,0.403226581,0.638821418,
0.1,0.01,0.78830989,0.789043991,
0.05,0.03,0.750258493,0.774083586,
0.02,0.21,0.638429935,0.578880122,
0.01,0.455,0.661293963,0.678256975,
0.005,0.715,0.583169596,0.747344438,
0.1,0.015,0.783059274,0.803128174,
0.05,0.085,0.680251465,0.698705164,
0.02,0.28,0.71124946,0.709507488,
0.01,0.515,0.596931194,0.579745607,
0.005,0.72,0.53527038,0.489766325,
